Russian National Football League,,Torpedo moskva,Khimik Dzerzhinsk,0-1,1,0-0,0-1,49,127,31,79,12,32,10,29,20,49,20,44,27,14,3,10,51.9,12,44.4,14,51.9,15,9,2,4,60,8,53.3,6,40,12,5,1,6,41.7,4,33.3,8,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Serie B,"Partly cloudy, 20℃～21℃",Pro Vercelli,Cagliari,1-2,3,1-1,0-1,31,76,34,110,5,26,7,21,8,36,21,46,26,9,4,13,34.6,9,34.6,15,57.7,12,3,2,7,25,4,33.3,7,58.3,14,6,2,6,42.9,5,35.7,8,57.1,25,11,2,12,44,13,52,11,44,13,5,0,8,38.5,7,53.8,5,38.5,12,6,2,4,50,6,50,6,50
Russian National Football League,,Khimik Dzerzhinsk,Baltika Kaliningrad,2-0,2,2-0,0-0,20,46,13,45,12,24,7,16,17,37,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,4,9,51.9,10,37,14,51.9,13,7,1,5,53.8,5,38.5,7,53.8,14,7,3,4,50,5,35.7,7,50
Serbian Superliga,"Light rain, 6℃～7℃",Indjija,Crvena Zvezda,1-1,2,1-0,0-1,32,127,10,59,10,29,0,7,22,63,2,27,26,12,0,14,46.2,11,42.3,15,57.7,13,7,0,6,53.8,5,38.5,8,61.5,13,5,0,8,38.5,6,46.2,7,53.8,25,9,2,14,36,8,32,15,60,12,4,2,6,33.3,4,33.3,7,58.3,13,5,0,8,38.5,4,30.8,8,61.5
Russian National Football League,,Mordovya Saransk,Torpedo moskva,1-0,1,0-0,1-0,17,22,11,27,32,78,21,67,24,48,15,40,27,9,0,18,33.3,13,48.1,14,51.9,14,4,0,10,28.6,5,35.7,9,64.3,13,5,0,8,38.5,8,61.5,5,38.5,27,14,3,10,51.9,12,44.4,14,51.9,15,9,2,4,60,8,53.3,6,40,12,5,1,6,41.7,4,33.3,8,66.7
Greece National A,,OFI Crete,PAOK Saloniki,3-1,4,2-0,1-1,8,26,3,16,38,118,13,62,15,51,6,33,26,12,3,11,46.2,14,53.8,11,42.3,13,8,2,3,61.5,6,46.2,7,53.8,13,4,1,8,30.8,8,61.5,4,30.8,26,13,2,11,50,14,53.8,11,42.3,13,6,0,7,46.2,8,61.5,5,38.5,13,7,2,4,53.8,6,46.2,6,46.2
Northern Ireland Premier League,,Dungannon Swifts,Warrenpoint Town,4-4,8,1-1,3-3,10,19,7,34,22,57,30,121,16,35,15,66,30,12,0,18,40,18,60,10,33.3,16,7,0,9,43.8,9,56.2,6,37.5,14,5,0,9,35.7,9,64.3,4,28.6,20,7,1,12,35,11,55,7,35,8,2,0,6,25,5,62.5,2,25,12,5,1,6,41.7,6,50,5,41.7
Croatia 1.Division,,Hajduk Split,Zadar,3-1,4,1-0,2-1,11,16,7,21,23,62,22,68,17,37,13,42,26,12,3,11,46.2,12,46.2,14,53.8,13,7,3,3,53.8,7,53.8,6,46.2,13,5,0,8,38.5,5,38.5,8,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Super Liga,,Kasimpasa,Besiktas JK,0-3,3,0-3,0-0,9,35,5,19,34,108,28,77,17,73,16,42,26,13,1,12,50,13,50,10,38.5,13,6,0,7,46.2,6,46.2,4,30.8,13,7,1,5,53.8,7,53.8,6,46.2,26,12,1,13,46.2,13,50,11,42.3,13,6,1,6,46.2,4,30.8,7,53.8,13,6,0,7,46.2,9,69.2,4,30.8
UAE Pro-League,,Al-Sharjah,Al Ain,1-3,4,1-0,0-3,15,18,10,20,39,106,30,88,21,53,21,43,19,10,0,9,52.6,11,57.9,8,42.1,9,4,0,5,44.4,4,44.4,5,55.6,10,6,0,4,60,7,70,3,30,19,8,0,11,42.1,11,57.9,6,31.6,9,1,0,8,11.1,5,55.6,4,44.4,10,7,0,3,70,6,60,2,20
UAE Pro-League,,Dabba Al-Fujairah,Al-Sharjah,0-0,0,0-0,0-0,9,35,7,25,27,110,29,99,14,62,17,52,6,2,0,4,33.3,2,33.3,3,50,3,1,0,2,33.3,2,66.7,0,0,3,1,0,2,33.3,0,0,3,100,19,10,0,9,52.6,11,57.9,8,42.1,9,4,0,5,44.4,4,44.4,5,55.6,10,6,0,4,60,7,70,3,30
Ukrainian Premier League,"Sunny, 26℃～27℃",Dynamo Kyiv,Hoverla-Zakarpattia Uzhgorod,2-0,2,1-0,1-0,10,68,32,132,0,15,12,51,6,33,23,84,23,10,2,11,43.5,10,43.5,11,47.8,12,3,2,7,25,3,25,7,58.3,11,7,0,4,63.6,7,63.6,4,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,Baltika Kaliningrad,Arsenal Tula,2-1,3,2-0,0-1,25,54,13,55,9,26,7,18,23,50,12,39,27,14,4,9,51.9,10,37,14,51.9,13,7,1,5,53.8,5,38.5,7,53.8,14,7,3,4,50,5,35.7,7,50,22,9,3,10,40.9,9,40.9,13,59.1,11,3,2,6,27.3,5,45.5,6,54.5,11,6,1,4,54.5,4,36.4,7,63.6
Cyprus 1 Division,"Light rain, 14℃～15℃",Ermis Aradippou,AEL Limassol,0-1,1,0-0,0-1,7,27,4,22,28,97,20,96,14,62,11,60,7,5,1,1,71.4,4,57.1,3,42.9,3,2,1,0,66.7,2,66.7,1,33.3,4,3,0,1,75,2,50,2,50,23,9,3,11,39.1,10,43.5,12,52.2,12,7,2,3,58.3,4,33.3,7,58.3,11,2,1,8,18.2,6,54.5,5,45.5
Belgian Second Division,,Seraing,K.RC.Mechelen,5-0,5,3-0,2-0,31,1,2,6,15,20,5,26,21,56,13,49,7,2,0,5,28.6,2,28.6,5,71.4,4,1,0,3,25,1,25,3,75,3,1,0,2,33.3,1,33.3,2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,Neftekhimik Nizhnekamsk,Sibir Novosibirsk,4-0,4,1-0,3-0,21,59,12,46,2,27,2,19,7,47,7,31,27,19,2,6,70.4,11,40.7,13,48.1,13,7,2,4,53.8,6,46.2,6,46.2,14,12,0,2,85.7,5,35.7,7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
